Player 1: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 985: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 986: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 987: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 988: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 989: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 990: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 991: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 992: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 993: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 994: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 995: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 996: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 997: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | Cheater
Player 998: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 999: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 1000: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
